year/make/model,price,value,engine,trans,trim,group,horsepower,mpg,
2018 BMW X3,"$42,650 ",Excellent,Engine: 4-Cyl Turbo 2.0 Liter,Steptronic 8 Speed Automatic Mode Select with Manual Mode (8HP50),xDrive30i,Premium Compact Utility,248@5200,21 City /  28 Hwy,
2018 BMW 3-Series,"$34,900 ",Above Average,Engine: 4-Cyl Turbo 2.0 Liter,Steptronic 8 Speed Automatic Mode Select with Manual Mode (8HP45),320i Sedan,Premium Compact Passenger Car,180@5000,24 City /  35 Hwy,
2018 BMW M2,"$54,500 ",Poor,Engine: 6-Cyl Turbo 3.0 Liter,Steptronic 6 Speed Manual (K),Base Coupe,Premium Performance Car,365@6500,20 City /  26 Hwy,
2018 BMW i3,"$44,450 ",N/A,"Motor, Single Electric",1 Speed Automatic (GE1B132H),Base Hatchback,Premium Compact Passenger Car,170,129 City /  106 Hwy,
2018 BMW 2-Series,"$34,950 ",Excellent,Engine: 4-Cyl Turbo 2.0 Liter,Steptronic 8 Speed Automatic Mode Select with Manual Mode (8HP50),230i Coupe,Premium Sporty/Coupe,248@5200,24 City /  35 Hwy,
2018 BMW 6-Series,"$70,200 ",Below Average,Engine: 6-Cyl Turbo 3.0 Liter,Steptronic 8 Speed Automatic Mode Select with Manual Mode (8HP50),640i xDrive Gran Turismo,Luxury Performance Car,335@5500,20 City /  28 Hwy,
2018 Buick Regal,"$24,990 ",Poor,Engine: 4-Cyl Turbo 2.0 Liter EcoTec,9 Speed Automatic with Manual Mode,ISV FWD Sportback,Passenger Car,250@5400,22 City /  32 Hwy,
2018 Buick Enclave,"$39,995 ",Below Average,Engine: V6 3.6 Liter,Hydra-Matic 9 Speed Automatic with Manual Mode (9T65),Base FWD,Full-Size Utility,302@6800,18 City /  26 Hwy,
2018 Buick Encore,"$22,990 ",Average,Engine: 4-Cyl Turbo 1.4 Liter Ecotec,Hydra-Matic 6 Speed Automatic with Manual Mode (6T40),1SV,Compact Utility,138@4900,27 City /  33 Hwy,
2018 Buick LaCrosse,"$29,565 ",Above Average,Engine: 4-Cyl 2.5 Liter,Hydra-Matic 6 Speed Automatic Mode Select with Manual Mode (6T40),Base Sedan,Premium Passenger Car,194@6300,25 City /  35 Hwy,
2018 Buick Cascada,"$33,065 ",Below Average,Engine: 4-Cyl Turbo 1.6 Liter,6 Speed Automatic (MH7),1SV Convertible,Convertible,200@5500,21 City /  29 Hwy,
2018 Buick Envision,"$33,995 ",N/A,Engine: 4-Cyl 2.5 Liter Ecotec,6 Speed Automatic with Manual Mode (MHG),Base FWD,Premium Compact Utility,197@6300,22 City /  29 Hwy,
2018 Cadillac XTS,"$46,395 ",Above Average,Engine: V6 3.6 Liter,Hydra-Matic 6 Speed Automatic Mode Select with Manual Mode (6T70),Base Sedan,Luxury Passenger Car,304@6800,19 City /  28 Hwy,
2018 Cadillac ATS,"$35,495 ",Below Average,Engine: 4-Cyl Turbo 2.0 Liter Ecotec,Hydra-Matic 8 Speed Automatic Mode Select with Manual Mode (8L45),2.0 RWD Sedan,Premium Compact Passenger Car,272@5500,N/A,Sedan
2018 Cadillac Escalade,"$74,695 ",Excellent,Engine: V8 6.2 Liter EcoTec3,10 Speed Automatic Mode Select with Manual Mode,Base 2WD,Luxury Utility,420@5600,14 City /  23 Hwy,
2018 Cadillac XT5,"$40,595 ",Above Average,Engine: V6 3.6 Liter,8 Speed Automatic Mode Select with Manual Mode (AWF8F45),Base FWD,Luxury Utility,310@6600,19 City /  26 Hwy,
2018 Cadillac CTS,"$46,495 ",Above Average,Engine: 4-Cyl Turbo 2.0 Liter Ecotec,Hydra-Matic 8 Speed Automatic Mode Select with Manual Mode (8L45),2.0 RWD Sedan,Luxury Passenger Car,268@5600,22 City /  30 Hwy,
2018 Cadillac CT6,"$54,095 ",Average,Engine: 4-Cyl Turbo 2.0 Liter Ecotec,Hydra-Matic 8 Speed Automatic with Manual Mode (8L45),2.0 Sedan,Luxury Passenger Car,265@5500,22 City /  30 Hwy,
2018 Chevrolet Trax,"$21,000 ",Below Average,Engine: 4-Cyl Turbo 1.4 Liter EcoTec,Hydra-Matic 6 Speed Automatic with Manual Mode (MNK-6T40),LS FWD,Compact Utility,138@4900,25 City /  33 Hwy,
2018 Chevrolet Malibu Hybrid,"$27,920 ",Above Average,Engine: 4-Cyl 1.8 Liter Ecotec,8 Speed Automatic with Manual Mode (AWF8F45),Base Sedan,Passenger Car,124@5000,49 City /  43 Hwy,
2018 Chevrolet Tahoe,"$47,500 ",Excellent,Engine: V8 5.3 Liter EcoTec3,Hydra-Matic 6 Speed Automatic Mode Select with Manual Mode (6L80),LS 2WD,Premium Full-Size Utility,355@5600,16 City /  23 Hwy,
2018 Chevrolet Colorado,"$20,200 ",Average,Engine: 4-Cyl 2.5 Liter,Eaton N8D 6 Speed Manual (N8D),Base 2WD Extended Cab,Mid-Size Pickup,200@6300,20 City /  26 Hwy,
2018 Chevrolet City Express,"$22,855 ",Excellent,Engine: 4-Cyl 2.0 Liter,Xtronic Continuously Variable Automatic (MRA),LS Cargo Van,Cargo Van,131@5200,24 City /  26 Hwy,
2018 Chevrolet Sonic,"$17,720 ",Below Average,Engine: 4-Cyl Turbo 1.4 Liter Ecotec,6 Speed Manual,LT (Manual) Sedan,Compact Passenger Car,138@4900,28 City /  37 Hwy,
2018 Chevrolet Corvette,"$55,495 ",Above Average,Engine: V8 6.2 Liter,Tremec 7 Speed Manual (TR6070),Stingray 1LT Coupe,Premium Performance Car,455@6000,16 City /  25 Hwy,
2018 Chevrolet Volt,"$33,220 ",Excellent,Engine: 4-Cyl 1.5 Liter,Continuously Variable Automatic,LT Sedan,Passenger Car,149@5600,N/A,Hatchback
2018 Chevrolet Malibu,"$21,680 ",Above Average,Engine: 4-Cyl Turbo 1.5 Liter Ecotec,Hydra-Matic 6 Speed Automatic with Manual Mode (6T40),L Sedan,Passenger Car,160@5700,27 City /  36 Hwy,
2018 Chevrolet Traverse,"$29,930 ",Above Average,Engine: V6 3.6 Liter,9 Speed Automatic with Manual Mode (9T65),L FWD,Full-Size Utility,310@6800,18 City /  27 Hwy,
2018 Chevrolet Spark,"$15,975 ",Average,Engine: 4-Cyl 1.4 Liter Ecotec,Jatco Continuously Variable Automatic (MR8),1LT (Auto) Hatchback,Compact Passenger Car,98@6200,30 City /  38 Hwy,
2018 Chevrolet Bolt EV,"$36,620 ",N/A,"Motor, Single Electric",1 Speed Automatic,LT  Hatchback,Compact Passenger Car,200,128 City /  110 Hwy,
2018 Chevrolet Impala,"$27,895 ",Poor,Engine: 4-Cyl 2.5 Liter Ecotec,Hydra-Matic 6 Speed Automatic with Manual Mode (6T40),LS Sedan,Passenger Car,196@6300,22 City /  30 Hwy,
2018 Chevrolet Express,"$31,295 ",N/A,Engine: V6 Flex Fuel 4.3 Liter,8 Speed Automatic Mode Select with Manual Mode (8L90),2500 Cargo Van Regular,Cargo Van,276@5200,N/A,Van
2018 Chevrolet Suburban,"$50,200 ",Above Average,Engine: V8 5.3 Liter EcoTec3,6 Speed Automatic Mode Select with Manual Mode (6L80),1500 LS 2WD,Premium Full-Size Utility,355@5600,16 City /  23 Hwy,
2018 Chevrolet Silverado 2500HD,"$34,400 ",Below Average,Engine: V8 Flex Fuel 6.0 Liter Vortec,Hydra-Matic 6 Speed Automatic Mode Select with Manual Mode (6L90),Work Truck 2WD Regular Cab,Full-Size Pickup HD,360@5400,11 City /  16 Hwy,
2018 Chevrolet Camaro,"$25,905 ",Poor,Engine: 4-Cyl Turbo 2.0 Liter,Tremec 6 Speed Manual (TR6060),1LS Coupe,Sporty/Coupe,275@5600,20 City /  30 Hwy,
2018 Chevrolet Equinox,"$23,580 ",Average,Engine: 4-Cyl Turbo 1.5 Liter,Hydra-Matic 6 Speed Automatic Mode Select with Manual Mode (6T40),L FWD,Mid-Size Utility,170@5600,26 City /  32 Hwy,
2018 Chevrolet Silverado 1500,"$28,300 ",Above Average,Engine: V6 Flex Fuel 4.3 Liter EcoTec3,Hydra-Matic 6 Speed Automatic Mode Select with Manual Mode (6L80),Work Truck 1WT 2WD Standard Bed Regular Cab,Full-Size Pickup LD,285@5300,18 City /  24 Hwy,
2018 Chevrolet Silverado 3500HD,"$35,500 ",Below Average,Engine: V8 Flex Fuel 6.0 Liter Vortec,6 Speed Automatic Mode Select with Manual Mode (6L90),Work Truck 2WD SRW Regular Cab,Full-Size Pickup HD,360@5400,11 City /  16 Hwy,
2018 Chevrolet Cruze,"$16,975 ",Above Average,Engine: 4-Cyl Turbo 1.4 Liter Ecotec,6 Speed Manual (MF3),L Sedan,Compact Passenger Car,153@5600,27 City /  40 Hwy,
2018 Chrysler Pacifica,"$29,795 ",Below Average,Engine: V6 3.6 Liter Pentastar™,9 Speed Automatic Mode Select (948TE),LX,Minivan,287@6400,19 City /  28 Hwy,
2018 Chrysler Pacifica Plug-in,"$44,995 ",Excellent,Engine: V6 3.6 Liter Pentastar™,eFlite EVT Continuously Variable Automatic (DFQ),Limited,Minivan,248@5800,N/A,Van
2018 Chrysler 300,"$37,545 ",Average,Engine: V6 3.6 Liter Pentastar™,TorqueFlite® 8 Speed Automatic Mode Select with Manual Mode (845RE),Limited RWD Sedan,Premium Passenger Car,292@6350,19 City /  30 Hwy,
2018 Dodge Grand Caravan,"$26,250 ",Poor,Engine: V6 Flex Fuel 3.6 Liter Pentastar,AutoStick 6 Speed Automatic Mode Select with Manual Mode (62TE),SE Pass Van,Minivan,283@6400,12 City /  18 Hwy,
2018 Dodge Charger,"$28,995 ",Above Average,Engine: V6 3.6 Liter Pentastar,TorqueFlite® 8 Speed Automatic with Manual Mode (8HP45),SXT Sedan,Premium Passenger Car,292@6350,19 City /  30 Hwy,
2018 Dodge Durango,"$29,995 ",Above Average,Engine: V6 3.6 Liter Pentastar,TorqueFlite® 8 Speed Automatic Mode Select with Manual Mode (845RE),SXT RWD,Full-Size Utility,295@6400,19 City /  26 Hwy,
2018 Dodge Challenger,"$27,295 ",Above Average,Engine: V6 3.6 Liter PentaStar,TorqueFlite® 8 Speed Automatic Mode Select with Manual Mode (845RE),SXT Coupe,Sporty/Coupe,305@6350,19 City /  30 Hwy,
2018 Dodge Journey,"$22,995 ",Poor,Engine: 4-Cyl 2.4 Liter,AutoStick 4 Speed Automatic Mode Select with Manual Mode (40TES),SE FWD,Mid-Size Utility,173@6000,19 City /  25 Hwy,
2018 FIAT 124 Spider,"$24,995 ",Above Average,Engine: 4-Cyl Turbo 1.4 Liter MultiAir,6 Speed Manual (C635),Classica,Performance Car,160@5500,26 City /  35 Hwy,
2018 FIAT 500L,"$20,995 ",Poor,Engine: 4-Cyl Turbo 1.4 Liter MultiAir,6 Speed Automatic (F21-250),Pop Hatchback,Compact Passenger Car,160@5500,22 City /  30 Hwy,
2018 FIAT 500,"$16,245 ",N/A,Engine: 4-Cyl Turbo 1.4 Liter MultiAir,5 Speed Manual (C510),Pop Hatchback,Sporty/Coupe,135@5500,N/A,Hatchback
2018 FIAT 500X,"$19,995 ",Poor,Engine: 4-Cyl Turbo 1.4 Liter MultiAir,6 Speed Manual (C635),Pop 2WD,Compact Utility,160@5500,25 City /  33 Hwy,
2018 Ford Taurus,"$27,690 ",Poor,Engine: V6 Flex Fuel 3.5 Liter Duratec,SelectShift 6 Speed Automatic with Manual Mode (6F50),SE Sedan,Premium Passenger Car,288@6500,13 City /  20 Hwy,
2018 Ford Transit Connect,"$23,215 ",Excellent,Engine: 4-Cyl Flex Fuel 2.5 Liter Duratec®,SelectShift® 6 Speed Automatic Mode Select with Manual Mode (6F35),XL SWB Cargo Van,Cargo Van,169@6000,20 City /  27 Hwy,
2018 Ford Expedition,"$51,790 ",Above Average,Engine: V6 Turbo 3.5 Liter EcoBoost®,SelectShift 10 Speed Automatic Mode Select with Manual Mode (44U),XLT 2WD,Premium Full-Size Utility,375@5000,17 City /  24 Hwy,
2018 Ford Mustang,"$25,680 ",Average,Engine: 4-Cyl Turbo 2.3 Liter EcoBoost®,6 Speed Manual (MT82),EcoBoost Coupe,Sporty/Coupe,310@5500,21 City /  31 Hwy,
2018 Ford Fiesta,"$14,205 ",Below Average,Engine: 4-Cyl 1.6 Liter Duratec,5 Speed Manual,S Sedan,Compact Passenger Car,120@5000,27 City /  35 Hwy,
2018 Ford Fusion,"$22,215 ",Below Average,Engine: 4-Cyl 2.5 Liter,6 Speed Automatic Mode Select,S Sedan,Passenger Car,175@6000,21 City /  32 Hwy,
2018 Ford C-MAX,"$24,120 ",Below Average,Engine: 4-Cyl 2.0 Liter Atkinson,eCVT Continuously Variable Automatic (HF35),SE Hybrid Wagon,Compact Utility,188@6000,42 City /  38 Hwy,
2018 Ford Flex,"$30,285 ",Poor,Engine: V6 3.5 Liter Duratec,SelectShift 6 Speed Automatic with Manual Mode (44J),SE,Full-Size Utility,287@6500,16 City /  23 Hwy,
2018 Ford Escape,"$23,940 ",Poor,Engine: 4-Cyl Flex Fuel 2.5 Liter,SelectShift 6 Speed Automatic with Manual Mode (L40D),S,Mid-Size Utility,168@6000,15 City /  22 Hwy,
2018 Ford Focus Electric,"$29,120 ",Below Average,"Motor, Single Electric",1 Speed Automatic,Base Hatchback,Compact Passenger Car,143,118 City /  96 Hwy,
2018 Ford Edge,"$29,315 ",Below Average,Engine: 4-Cyl Turbo 2.0 Liter EcoBoost,SelectShift 6 Speed Automatic with Manual Mode (6F50),SE 2WD,Mid-Size Utility,245@5500,20 City /  29 Hwy,
2018 Ford F-350,"$34,155 ",Poor,Engine: V8 Flex Fuel 6.2 Liter,TorqShift® 6 Speed Automatic Mode Select with Manual Mode (6R140),XL 2WD SRW Super Duty Regular Cab,Full-Size Pickup HD,385@5750,12 City /  18 Hwy,
2018 Ford EcoSport,"$19,995 ",N/A,Engine: 3-Cyl Turbo 1.0 Liter,SelectShift® 6 Speed Automatic Mode Select with Manual Mode (447),S FWD,Compact Utility,123@6000,27 City /  29 Hwy,
2018 Ford Transit,"$32,380 ",Below Average,Engine: V6 3.7 Liter,SelectShift® 6 Speed Automatic with Manual Mode (446),150 w/130 WB & 60/40 Door Low Roof Cargo Van,Cargo Van,275@6000,14 City /  18 Hwy,
2018 Ford Explorer,"$32,140 ",Poor,Engine: V6 3.5 Liter,SelectShift 6 Speed Automatic Mode Select with Manual Mode (44J),Base 2WD,Full-Size Utility,290@6500,N/A,SUV/Crossover
2018 Ford Fusion Hybrid,"$25,390 ",Above Average,Engine: 4-Cyl 2.0 Liter Atkinson,eCVT Continuously Variable Automatic (HF35),S Sedan,Passenger Car,188@6000,43 City /  41 Hwy,
2018 Ford Focus,"$17,950 ",Poor,Engine: 4-Cyl 2.0 Liter Duratec,5 Speed Manual (44Z),S Sedan,Compact Passenger Car,160@6500,N/A,Sedan
2018 Ford GT,N/A,N/A,N/A,N/A,Base Coupe,N/A,N/A,N/A,Coupe
2018 Ford F-250,"$32,985 ",Below Average,Engine: V8 Flex Fuel 6.2 Liter,TorqShift®-G 6 Speed Automatic Mode Select with Manual Mode (6R100),Super Duty XL 2WD Regular Cab,Full-Size Pickup HD,385@5750,12 City /  18 Hwy,
2018 Ford F-150,"$27,705 ",Above Average,Engine: V6 Flex Fuel 3.3 Liter,SelectShift® 6 Speed Automatic Mode Select with Manual Mode (6R80E),XL 2WD Short Bed Regular Cab,Full-Size Pickup LD,290@6500,N/A,Truck
2018 Genesis G80,"$41,750 ",Above Average,Engine: V6 3.8 Liter Lambda,SHIFTRONIC 8 Speed Automatic Mode Select with Manual Mode,3.8 RWD Sedan,Premium Passenger Car,311@6000,19 City /  27 Hwy,
2018 Genesis G90,"$68,350 ",Poor,Engine: V6 Turbo 3.3 Liter,SHIFTRONIC 8 Speed Automatic Mode Select with Manual Mode,Premium Sedan,Luxury Passenger Car,365@6000,17 City /  24 Hwy,
2018 GMC Savana,"$31,295 ",Below Average,Engine: V6 4.3 Liter,8 Speed Automatic Mode Select (8L90),2500 Cargo Van Regular,Cargo Van,276@5200,13 City /  18 Hwy,
2018 GMC Sierra 2500HD,"$35,000 ",Below Average,Engine: V8 Flex Fuel 6.0 Liter Vortec,6 Speed Automatic Mode Select with Manual Mode (6L90),2WD Regular Cab,Full-Size Pickup HD,360@5400,11 City /  16 Hwy,
2018 GMC Terrain,"$24,995 ",Average,Engine: 4-Cyl Turbo 1.5 Liter,9 Speed Automatic Mode Select with Manual Mode (9T45),SL FWD,Mid-Size Utility,170@5600,26 City /  30 Hwy,
2018 GMC Acadia,"$29,000 ",Average,Engine: 4-Cyl 2.5 Liter Ecotec,Hydra-Matic 6 Speed Automatic with Manual Mode (6T50),SL FWD,Full-Size Utility,194@6300,21 City /  26 Hwy,
2018 GMC Sierra 3500HD,"$36,100 ",Poor,Engine: V8 Flex Fuel 6.0 Liter Vortec,6 Speed Automatic Mode Select with Manual Mode (6L90),Base 2WD SRW Regular Cab,Full-Size Pickup HD,360@5400,11 City /  16 Hwy,
2018 GMC Yukon,"$49,100 ",Excellent,Engine: V8 5.3 Liter EcoTec3,Hydra-Matic 6 Speed Automatic Mode Select with Manual Mode (6L80),SLE 2WD,Premium Full-Size Utility,355@5600,16 City /  23 Hwy,
2018 GMC Sierra 1500,"$29,000 ",Poor,Engine: V6 Flex Fuel 4.3 Liter EcoTec3,Hydra-Matic 6 Speed Automatic Mode Select (6L80),Base 2WD Standard Bed Regular Cab,Full-Size Pickup LD,285@5300,12 City /  16 Hwy,
2018 GMC Canyon,"$21,100 ",Below Average,Engine: 4-Cyl 2.5 Liter EcoTec,Eaton 6 Speed Manual (N8D),SL 2WD Extended Cab,Mid-Size Pickup,200@6300,20 City /  26 Hwy,
2018 Honda Odyssey,"$29,990 ",Excellent,Engine: V6 3.5 Liter Earth Dreams Technology™,9 Speed Automatic Mode Select with Manual Mode,LX,Minivan,280@6000,19 City /  28 Hwy,
